# idx	freq_hz
657	12007790
658	12007500
659	12008560
660	12008630
661	12008990
662	12009940
663	12008790
664	12008340
665	12009510
666	12009270
667	12009330
668	12009660
669	12009980
670	12009180
671	12009560
672	12008840
673	12008670
674	12008450
675	12008280
676	12009250
677	12010250
678	12009760
679	12007930
680	12007560
681	12008250
682	12007800
683	12008170
684	12008260
685	12008040
686	12009280
687	12009240
688	12008890
689	12009390
690	12009810
691	12009360
692	12009530
693	12010140
694	12010290
695	12009380
696	12008860
697	12009270
698	12009220
699	12009100
700	12008710
701	12008820
702	12008530
703	12008630
704	12008870
705	12008210
706	12007860
707	12008520
708	12008240
709	12008010
710	12008130
711	12009900
712	12010680
713	12010480
714	12009360
715	12008990
716	12009090
717	12008790
718	12008880
719	12009260
720	12009310
721	12008830
722	12009460
723	12010160
724	12010640
725	12011060
726	12011080
727	12010190
728	12010380
729	12010480
730	12009860
731	12009600
732	12009130
733	12008810
734	12009240
735	12008700
736	12008730
737	12008960
738	12007940
739	12008830
740	12009410
741	12008660
742	12008180
743	12007540
744	12008680
745	12008090
746	12007720
747	12007860
748	12008100
749	12008390
750	12008950
751	12008250
752	12009210
753	12008760
754	12008930
755	12008110
756	12008360
757	12008620
758	12009160
759	12009690
760	12009300
761	12009440
762	12009350
763	12009200
764	12009100
765	12009530
766	12009140
767	12009910
768	12009430
769	12009450
770	12008910
771	12009180
772	12008740
773	12009630
774	12009420
775	12010160
776	12010000
777	12009150
778	12009330
779	12009580
780	12009290
781	12009260
782	12008190
783	12008390
784	12008770
785	12008420
786	12008140
787	12008660
788	12009030
789	12007640
790	12007440
791	12007480
792	12008220
793	12008250
794	12008430
795	12009090
796	12007700
797	12008660
798	12008890
799	12009850
800	12008730
801	12007820
802	12007670
803	12007490
804	12008040
805	12008690
806	12009350
807	12010010
808	12008950
809	12008740
810	12009030
811	12009140
812	12009210
813	12009760
814	12009210
815	12008730
816	12008990
817	12008810
818	12007630
819	12008540
820	12008820
821	12008350
822	12008290
823	12008040
